
# 
#
# USGS Parameter Code Definitions File
#
# Column Definitions
#  parameter_cd  - Parameter Code
#  parameter_group_nm  - Group Name
#  parameter_nm  - Parameter Name/Description
#
#
# Date Retrieved: 2007-11-11 10:27:51 EST
#
parameter_cd	parameter_group_nm	parameter_nm
5s	30s	170s
83151	Physical Property	Specific conductance, wet atmospheric deposition, unfiltered, calculated, microsiemens per centimeter at 25 degrees Celsius
83152	Physical Property	Check solution specific conductance, wet atmospheric deposition, unfiltered, microsiemens per centimeter at 25 degrees Celsius
83153	Physical Property	Specific conductance, wet atmospheric deposition, filtered, field, microsiemens per centimeter at 25 degrees Celsius
83154	Physical Property	Specific conductance, wet atmospheric deposition, unfiltered, field, microsiemens per centimeter at 25 degrees Celsius
83155	Physical Property	Specific conductance, wet atmospheric deposition, filtered, laboratory, microsiemens per centimeter at 25 degrees Celsius
83156	Physical Property	Specific conductance, wet atmospheric deposition, unfiltered, laboratory, microsiemens per centimeter at 25 degrees Celsius
83177	Physical Property	Atmospheric deposition, wet, liters
83205	Physical Property	Atmospheric deposition type, bulk, code
83386	Physical Property	pH, bulk atmospheric deposition, unfiltered, calculated, standard units
83387	Physical Property	Check solution pH, bulk atmospheric deposition, unfiltered, standard units
83388	Physical Property	pH, bulk atmospheric deposition, unfiltered, field, standard units
83389	Physical Property	pH, bulk atmospheric deposition, unfiltered, laboratory, standard units
83432	Physical Property	Specific conductance, bulk atmospheric deposition, filtered, calculated, microsiemens per centimeter at 25 degrees Celsius
83433	Physical Property	Specific conductance, bulk atmospheric deposition, unfiltered, calculated, microsiemens per centimeter at 25 degrees Celsius
83434	Physical Property	Check solution specific conductance, bulk atmospheric deposition, unfiltered, microsiemens per centimeter at 25 degrees Celsius
83435	Physical Property	Specific conductance, bulk atmospheric deposition, filtered, field, microsiemens per centimeter at 25 degrees Celsius
83436	Physical Property	Specific conductance, bulk atmospheric deposition, unfiltered, field, microsiemens per centimeter at 25 degrees Celsius
83437	Physical Property	Specific conductance, bulk atmospheric deposition, filtered, laboratory, microsiemens per centimeter at 25 degrees Celsius
83438	Physical Property	Specific conductance, bulk atmospheric deposition, unfiltered, laboratory, microsiemens per centimeter at 25 degrees Celsius
83459	Physical Property	Atmospheric deposition, bulk, unfiltered, liters
84060	Physical Property	Topography, physiographic setting, code
84143	Physical Property	Well purging condition, code
85310	Physical Property	Depth of lake, maximum, meters
85311	Physical Property	Depth of lake, mean, meters
85328	Physical Property	Depth to 1 percent of surface light, meters
85540	Physical Property	Air, water, unfiltered, volume percent of dissolved gases
85541	Physical Property	Inert gases, water, unfiltered, volume percent of dissolved gases
85544	Physical Property	Carbon dioxide, water, unfiltered, volume percent of dissolved gases
85550	Physical Property	Dissolved oxygen, water, unfiltered, volume percent of dissolved gases
85555	Physical Property	Gas/water ratio, cubic feet per barrel
85557	Physical Property	Temperature, low saturation, degrees Celsius
85558	Physical Property	Temperature, high saturation, degrees Celsius
85559	Physical Property	Pressure, low saturation, pounds per square inch
85560	Physical Property	Pressure, high saturation, pounds per square inch
85570	Physical Property	Nitrogen, water, unfiltered, cubic centimeters per gram at standard temperature and pressure
85571	Physical Property	Carbon dioxide, water, unfiltered, cubic centimeters per gram at standard temperature and pressure
85572	Physical Property	Methane, water, unfiltered, cubic centimeters per gram at standard temperature and pressure
85573	Physical Property	Dissolved oxygen, water, unfiltered, cubic centimeters per gram at standard temperature and pressure
85583	Physical Property	Temperature, intragravel water, degrees Celsius
85599	Physical Property	Rainfall, total for defined period, centimeters
85822	Physical Property	Moisture content, biota, tissue, wet weight, percent of total weight
90010	Physical Property	Temperature, area-weighted-average, degrees Celsius
90034	Physical Property	Depth to 1 percent of surface light, cross section average, feet
90077	Physical Property	Transparency, water, in situ, Secchi disc, cross section average, inches
90094	Physical Property	Specific conductance, water, unfiltered, area weighted average, microsiemens per centimeter at 25 degrees Celsius
90095	Physical Property	Specific conductance, water, unfiltered, laboratory, microsiemens per centimeter at 25 degrees Celsius
90198	Physical Property	Depth to 10 percent surface light, cross section average, feet
90199	Physical Property	Depth to 50 percent surface light, cross section average, feet
90200	Physical Property	Incident light intensity, 400-700 nanometers, cross-sectional average, microeinsteins per square meter per second
90300	Physical Property	Dissolved oxygen, water, unfiltered, area weighted average, milligrams per liter
90400	Physical Property	pH, water, area weighted average, standard units
90860	Physical Property	Salinity, water, unfiltered, practical salinity units at 25 degrees Celsius
91011	Physical Property	Solids, settleable in 15 minutes, water, unfiltered, milliliters per liter
91016	Physical Property	Biochemical oxygen demand, water, unfiltered, 5 days at 20 degrees Celsius, tons per day
91017	Physical Property	Suspended solids, dried at 110 degrees Celsius, water, unfiltered, tons per day
91055	Physical Property	Suspended solids, dried at 105 degrees Celsius, water, unfiltered, tons per day
91056	Physical Property	Loss on ignition, from suspended solids, water, unfiltered, tons per day
91104	Physical Property	Weight of organism, total, grams
91105	Physical Property	Weight of sampled tissue from organism, grams
91106	Physical Property	Length of organism, centimeters
95902	Physical Property	Noncarbonate hardness, water, milligrams per liter as calcium carbonate
99019	Physical Property	Water level, depth below land surface, meters
99020	Physical Property	Elevation above NGVD 1929, meters
99030	Physical Property	Distance, observation point to sample location, meters
99031	Physical Property	Distance, horizontal, observation point to sampling location, meters
99060	Physical Property	Discharge, cubic meters per second
99061	Physical Property	Discharge, instantaneous, cubic meters per second
99065	Physical Property	Gage height, above datum, meters
99066	Physical Property	Hyporheic flux of water from ground water to surface water, milliliters per square centimeter per day
99231	Physical Property	Electrical resistance, ohms
99232	Physical Property	Volumetric soil moisture content period, for internal control of sensor, milliseconds
99401	Physical Property	Residue, dissolved, water, filtered, estimated by regression equation, milligrams per liter
99402	Physical Property	Residue, suspended, water, unfiltered, estimated by regression equation, milligrams per liter
99403	Physical Property	Residue, total, water, unfiltered, estimated by regression equation, milligrams per liter
99420	Physical Property	Dissolved oxygen, water, unfiltered, pounds per day
99772	Physical Property	Precipitation, millimeters
99872	Physical Property	Turbidity, water, unfiltered, laboratory, Hach 2100AN, nephelometric turbidity units
99974	Physical Property	Specific conductance, 1 meter below water surface, microsiemens per centimeter at 25 degrees Celsius
99975	Physical Property	pH, 1 meter below water surface, standard units
99976	Physical Property	Temperature, 1 meter below water surface, degrees Celsius
99977	Physical Property	Dissolved oxygen, water, unfiltered, 1 meter below surface, milligrams per liter
99978	Physical Property	Specific conductance, water, 1 meter above bottom, microsiemens per centimeter at 25 degrees Celsius
99979	Physical Property	pH, water, 1 meter above bottom, standard units
99980	Physical Property	Temperature, water, 1 meter above bottom, degrees Celsius
99981	Physical Property	Dissolved oxygen, water, unfiltered, 1 meter above bottom, milligrams per liter
99982	Physical Property	Specific conductance, water, mid-depth, microsiemens per centimeter at 25 degrees Celsius
99983	Physical Property	pH, water, mid-depth, standard units
99984	Physical Property	Temperature, water, mid-depth, degrees Celsius
99985	Physical Property	Dissolved oxygen, water, unfiltered, mid-depth, milligrams per liter
99986	Physical Property	Solar radiation (average flux density on a horizontal surface during measurement interval), watts per square meter
99987	Physical Property	Solar radiation (total flux density on a horizontal surface during measurement interval), megajoules per square meter
99988	Physical Property	Photosynthetically active radiation (average flux density on a horizontal surface during measurement interval), micromoles of photons per square meter per second
99989	Physical Property	Photosynthetically active radiation (total flux density on a horizontal surface during measurement interval), millimoles of photons per square meter
99997	Physical Property	Photosynthetically active radiation (PAR) in water at the 1% light level, micromoles of photons per square meter per second
